,template-1,template-10,template-2,template-3,template-4,template-5,template-6,template-7,template-8,template-9,template-length_1,template-length_2,template-length_3,template-length_4,template-length_5
scan,25.6,24.6,26.8,25.7,26.1,26.2,22.6,25.8,26.6,25.6,25.9,25.3,27.4,27.8,21.3
sat_full,57.2,59.9,56.7,56.1,58.0,57.2,59.6,57.0,59.6,56.7,59.9,54.3,59.6,57.2,43.3
sat,57.3,59.3,57.9,55.5,57.6,56.4,60.2,57.0,59.1,56.4,60.8,55.2,59.6,56.7,43.9
u2,55.3,56.1,58.3,56.6,55.3,57.5,58.3,55.7,57.0,57.5,59.6,50.9,50.0,50.9,42.5
u4,56.9,57.2,58.1,56.5,56.2,55.1,56.9,56.7,55.3,55.8,57.4,53.9,55.1,53.9,45.1
google,87.2,89.2,85.4,87.6,85.2,86.8,89.2,85.6,87.6,86.0,89.2,85.8,85.8,88.8,75.4
bats,71.2,69.5,69.1,69.5,68.8,69.5,69.9,68.5,69.8,68.9,70.3,69.5,69.9,72.0,64.0
t_rex_relational_similarity,63.4,60.7,51.9,57.4,59.6,55.7,56.3,59.0,60.1,60.7,66.7,50.8,57.9,56.3,37.2
conceptnet_relational_similarity,39.6,38.3,39.4,38.5,36.9,37.9,39.3,38.5,38.8,38.8,39.8,31.5,33.1,32.6,22.5
nell_relational_similarity,64.8,66.2,61.7,63.8,63.5,60.0,64.7,65.8,63.3,63.3,62.0,63.3,66.3,67.0,44.2
BLESS,89.9,89.3,89.7,90.0,90.0,89.2,91.4,89.7,89.7,90.6,89.9,90.2,90.3,89.2,88.3
CogALexV,63.4,64.1,64.7,66.5,65.7,66.3,65.3,66.0,65.3,65.3,65.7,65.3,66.1,67.7,62.2
EVALution,63.6,64.0,63.7,64.0,63.8,62.4,63.5,64.5,63.3,63.5,65.1,65.2,66.7,65.1,61.1
K&H+N,84.8,85.0,86.2,86.4,85.9,85.3,84.8,84.7,84.6,85.1,85.3,85.4,87.3,87.6,84.3
ROOT09,88.5,89.6,88.9,89.4,89.0,89.2,88.7,89.1,89.5,88.9,89.1,89.8,88.9,89.3,87.6
template,"Today, I finally discovered the spaceship between 	extbf{[h]} and 	extbf{[t]} : 	extbf{[h]} is the 	exttt{<mask>} of 	extbf{[t]}","Today, I finally discovered Abraham Lincoln between 	extbf{[h]} and 	extbf{[t]} : 	extbf{[h]} is the 	exttt{<mask>} of 	extbf{[t]}","Today, I finally discovered Napoleon Bonaparte between 	extbf{[h]} and 	extbf{[t]} : 	extbf{[h]} is the 	exttt{<mask>} of 	extbf{[t]}","Today, I finally discovered football between 	extbf{[h]} and 	extbf{[t]} : 	extbf{[h]} is the 	exttt{<mask>} of 	extbf{[t]}","Today, I finally discovered Italy between 	extbf{[h]} and 	extbf{[t]} : 	extbf{[h]} is the 	exttt{<mask>} of 	extbf{[t]}","Today, I finally discovered Cardiff between 	extbf{[h]} and 	extbf{[t]} : 	extbf{[h]} is the 	exttt{<mask>} of 	extbf{[t]}","Today, I finally discovered the earth science between 	extbf{[h]} and 	extbf{[t]} : 	extbf{[h]} is the 	exttt{<mask>} of 	extbf{[t]}","Today, I finally discovered pizza between 	extbf{[h]} and 	extbf{[t]} : 	extbf{[h]} is the 	exttt{<mask>} of 	extbf{[t]}","Today, I finally discovered subway between 	extbf{[h]} and 	extbf{[t]} : 	extbf{[h]} is the 	exttt{<mask>} of 	extbf{[t]}","Today, I finally discovered ocean between 	extbf{[h]} and 	extbf{[t]} : 	extbf{[h]} is the 	exttt{<mask>} of 	extbf{[t]}","Today, I finally discovered the relation between 	extbf{[h]} and 	extbf{[t]} : 	extbf{[h]} is the 	exttt{<mask>} of 	extbf{[t]}","Today, I finally discovered that the relation between 	extbf{[h]} and 	extbf{[t]} is 	exttt{<mask>}",I discovered that the relation between 	extbf{[h]} and 	extbf{[t]} is 	exttt{<mask>},the relation between 	extbf{[h]} and 	extbf{[t]} is 	exttt{<mask>},	extbf{[h]} and 	extbf{[t]} is 	exttt{<mask>}
