,model,both_direction,label_size,data,accuracy/test,f1_macro/test,f1_micro/test,data_size/test,accuracy/test/hyper,accuracy/val,f1_macro/val,f1_micro/val,data_size/val,accuracy/test/hypo,accuracy/test/IsA,accuracy/test/HYPER
0,examples/analysis_data/ckpt/manual/epoch_2,True,6,BLESS,0.4532168148259756,0.10395714532573008,0.4532168148259756,6637,0.9472653307217116,0.4589299171062547,0.10485537190082644,0.4589299171062547,1327.0,,,
1,examples/analysis_data/ckpt/manual/epoch_2,True,4,K&H+N,0.5529665437852125,0.2842485186192466,0.5529665437852125,14377,,0.5594575799721836,0.2888934341211139,0.5594575799721836,2876.0,0.9275231272170829,,
2,examples/analysis_data/ckpt/manual/epoch_2,True,7,EVALution,0.24864572047670638,0.0568949488689185,0.24864572047670638,1846,,0.25268817204301075,0.05763335377069283,0.25268817204301075,372.0,,0.24864572047670638,
3,examples/analysis_data/ckpt/manual/epoch_2,True,5,CogALexV,0.718075117370892,0.16718130892198388,0.718075117370892,4260,,,,,,,,0.9103286384976526
4,examples/analysis_data/ckpt/manual/epoch_2,True,3,ROOT09,0.4907552491382012,0.21946605003153244,0.4907552491382011,3191,,0.512539184952978,0.2259067357512953,0.512539184952978,638.0,,,1.0
5,relbert_output/ckpt/roberta_custom_c/epoch_2,True,6,BLESS,0.92240470091909,0.918475064341875,0.92240470091909,6637,0.9936718396866054,0.9163526752072344,0.9044571806888303,0.9163526752072344,1327.0,,,
6,relbert_output/ckpt/roberta_custom_c/epoch_2,True,4,K&H+N,0.9690477846560479,0.8976164471380529,0.9690477846560479,14377,,0.9669680111265647,0.8910650899582453,0.9669680111265647,2876.0,0.9915142241079502,,
7,relbert_output/ckpt/roberta_custom_c/epoch_2,True,7,EVALution,0.704225352112676,0.7028632431337248,0.704225352112676,1846,,0.7258064516129032,0.7173713941729367,0.7258064516129032,372.0,,0.823943661971831,
8,relbert_output/ckpt/roberta_custom_c/epoch_2,True,5,CogALexV,0.8812206572769953,0.7432123880566883,0.8812206572769953,4260,,,,,,,,0.9403755868544601
9,relbert_output/ckpt/roberta_custom_c/epoch_2,True,3,ROOT09,0.898464431212786,0.893261989226242,0.898464431212786,3191,,0.8996865203761756,0.8890370165762341,0.8996865203761756,638.0,,,1.0
